from,to,relation,film,time
Perry,Perry,actedindirect,booamadeahalloween,2016
Perry,Perry,written,booamadeahalloween,2016
Perry,Perry,actedinwritten,booamadeahalloween,2016
Perry,Perry,produced,booamadeahalloween,2016
Perry,Perry,actedinprod,booamadeahalloween,2016
Perry,Perry,writtenprod,booamadeahalloween,2016
Perry,Perry,prodwritten,booamadeahalloween,2016
Perry,Perry,proddirected,booamadeahalloween,2016
Perry,Perry,directedprod,booamadeahalloween,2016
Perry,Perry,directedwritten,booamadeahalloween,2016
Perry,Perry,writtendirected,booamadeahalloween,2016
Perry,Theron,actedinprod,brainonfire,2016
Perry,Perry,directed,tylerperrysmadeaontherun,2017
Perry,Perry,actedindirect,tylerperrysmadeaontherun,2017
Perry,Perry,written,tylerperrysmadeaontherun,2017
Perry,Perry,actedinwritten,tylerperrysmadeaontherun,2017
Perry,Perry,produced,tylerperrysmadeaontherun,2017
Perry,Perry,actedinprod,tylerperrysmadeaontherun,2017
Perry,Perry,writtenprod,tylerperrysmadeaontherun,2017
Perry,Perry,prodwritten,tylerperrysmadeaontherun,2017
Perry,Perry,proddirected,tylerperrysmadeaontherun,2017
Perry,Perry,directedprod,tylerperrysmadeaontherun,2017
Perry,Perry,directedwritten,tylerperrysmadeaontherun,2017
Perry,Perry,writtendirected,tylerperrysmadeaontherun,2017
Perry,Perry,directed,boo2amadeahalloween,2017
Perry,Perry,actedindirect,boo2amadeahalloween,2017
Perry,Perry,written,boo2amadeahalloween,2017
Perry,Perry,actedinwritten,boo2amadeahalloween,2017
Perry,Perry,produced,boo2amadeahalloween,2017
Perry,Perry,actedinprod,boo2amadeahalloween,2017
Perry,Perry,writtenprod,boo2amadeahalloween,2017
Perry,Perry,prodwritten,boo2amadeahalloween,2017
Perry,Perry,proddirected,boo2amadeahalloween,2017
Perry,Perry,directedprod,boo2amadeahalloween,2017
Perry,Perry,directedwritten,boo2amadeahalloween,2017
Perry,Perry,writtendirected,boo2amadeahalloween,2017
Roberts,Kutcher,coacting,valentinesday,2010
Roberts,Lautner,coacting,valentinesday,2010
Roberts,Aniston,coacting,mothersday,2016
Sandler,James,prodwritten,paulblartmallcop,2009
Sandler,James,coproduced,paulblartmallcop,2009
Sandler,James,produced,paulblartmallcop,2009
Sandler,James,coacting,grownups,2010
Sandler,James,produced,grownups,2010
Sandler,James,written,grownups,2010
Sandler,Sandler,prodwritten,grownups,2010
Sandler,Sandler,writtenprod,grownups,2010
Sandler,Sandler,produced,grownups,2010
Sandler,Sandler,written,grownups,2010
Sandler,Sandler,actedinprod,grownups,2010
Sandler,Sandler,actedinwritten,grownups,2010
Sandler,Aniston,produced,justgowithit,2011
Sandler,Aniston,coacting,justgowithit,2011
Sandler,Swardson,produced,justgowithit,2011
Sandler,Swardson,coacting,justgowithit,2011
Sandler,Sandler,produced,justgowithit,2011
Sandler,Sandler,actedinprod,justgowithit,2011
Sandler,James,coproduced,zookeeper,2011
Sandler,James,prodwritten,zookeeper,2011
Sandler,James,produced,zookeeper,2011
Sandler,Swardson,cowritten,buckylarsonborntobeastar,2011
Sandler,Swardson,coproduced,buckylarsonborntobeastar,2011
Sandler,Swardson,prodwritten,buckylarsonborntobeastar,2011
Sandler,Swardson,writtenprod,buckylarsonborntobeastar,2011
Sandler,Swardson,written,buckylarsonborntobeastar,2011
Sandler,Swardson,produced,buckylarsonborntobeastar,2011
Sandler,Sandler,prodwritten,buckylarsonborntobeastar,2011
Sandler,Sandler,writtenprod,buckylarsonborntobeastar,2011
Sandler,Swardson,produced,jackandjill,2011
Sandler,Swardson,written,jackandjill,2011
Sandler,Swardson,coacting,jackandjill,2011
Sandler,Depp,produced,jackandjill,2011
Sandler,Depp,written,jackandjill,2011
Sandler,Depp,coacting,jackandjill,2011
Sandler,Sandler,produced,jackandjill,2011
Sandler,Sandler,written,jackandjill,2011
Sandler,Sandler,actedinwritten,jackandjill,2011
Sandler,Sandler,actedinprod,jackandjill,2011
Sandler,Sandler,prodwritten,jackandjill,2011
Sandler,Sandler,writtenprod,jackandjill,2011
Sandler,Swardson,produced,thatsmyboy,2012
Sandler,Swardson,coacting,thatsmyboy,2012
Sandler,Sandler,produced,thatsmyboy,2012
Sandler,Sandler,actedinprod,thatsmyboy,2012
Sandler,James,coproduced,herecomestheboom,2012
Sandler,James,prodwritten,herecomestheboom,2012
Sandler,James,produced,herecomestheboom,2012
Sandler,Sandler,prodwritten,grownups2,2013
Sandler,Sandler,writtenprod,grownups2,2013
Sandler,Sandler,written,grownups2,2013
Sandler,Sandler,actedinwritten,grownups2,2013
Sandler,Sandler,produced,grownups2,2013
Sandler,Sandler,actedinprod,grownups2,2013
Sandler,James,produced,grownups2,2013
Sandler,James,written,grownups2,2013
Sandler,James,coacting,grownups2,2013
Sandler,Swardson,produced,grownups2,2013
Sandler,Swardson,written,grownups2,2013
Sandler,Swardson,coacting,grownups2,2013
Sandler,Lautner,produced,grownups2,2013
Sandler,Lautner,written,grownups2,2013
Sandler,Lautner,coacting,grownups2,2013
Sandler,Sandler,produced,blended,2014
Sandler,Sandler,actedinprod,blended,2014
Sandler,Barrymore,produced,blended,2014
Sandler,Barrymore,coacting,blended,2014
Sandler,James,produced,paulblartmallcop2,2015
Sandler,James,coproduced,paulblartmallcop2,2015
Sandler,James,prodwritten,paulblartmallcop2,2015
Sandler,Sandler,produced,pixels,2015
Sandler,Sandler,actedinprod,pixels,2015
Sandler,James,produced,pixels,2015
Sandler,James,coacting,pixels,2015
Sandler,Swardson,produced,pixels,2015
Sandler,Swardson,coacting,pixels,2015
Sandler,Sandler,prodwritten,theridiculous6,2015
Sandler,Sandler,writtenprod,theridiculous6,2015
Sandler,Sandler,produced,theridiculous6,2015
Sandler,Sandler,written,theridiculous6,2015
Sandler,Sandler,actedinprod,theridiculous6,2015
Sandler,Sandler,actedinwritten,theridiculous6,2015
Sandler,Swardson,coproduced,theridiculous6,2015
Sandler,Swardson,writtenprod,theridiculous6,2015
Sandler,Swardson,produced,theridiculous6,2015
Sandler,Swardson,written,theridiculous6,2015
Sandler,Swardson,actedinprod,theridiculous6,2015
Sandler,Swardson,coacting,theridiculous6,2015
Sandler,Lautner,produced,theridiculous6,2015
Sandler,Lautner,written,theridiculous6,2015
Sandler,Lautner,coacting,theridiculous6,2015
Sandler,Sandler,produced,thedoover,2016
Sandler,Sandler,actedinprod,thedoover,2016
Sandler,Swardson,coproduced,thedoover,2016
Sandler,Swardson,produced,thedoover,2016
Sandler,Swardson,actedinprod,thedoover,2016
Sandler,Swardson,coacting,thedoover,2016
Sandler,Sandler,writtenprod,sandywexler,2017
Sandler,Sandler,prodwritten,sandywexler,2017
Sandler,Sandler,actedinprod,sandywexler,2017
Sandler,Sandler,produced,sandywexler,2017
Sandler,Sandler,actedinwritten,sandywexler,2017
Sandler,Sandler,written,sandywexler,2017
Sandler,James,written,sandywexler,2017
Sandler,James,produced,sandywexler,2017
Sandler,James,coacting,sandywexler,2017
Sandler,Swardson,coproduced,sandywexler,2017
Sandler,Swardson,writtenprod,sandywexler,2017
Sandler,Swardson,coacting,sandywexler,2017
Sandler,Swardson,produced,sandywexler,2017
Sandler,Swardson,written,sandywexler,2017
Sandler,Swardson,actedinprod,sandywexler,2017
Sandler,Stiller,coacting,themeyerowitzstoriesnewandselected,2017
Smith,Cyrus,coacting,justinbieberneversaynever,2011
Stallone,Stallone,directed,theexpendables,2010
Stallone,Stallone,written,theexpendables,2010
Stallone,Stallone,actedindirect,theexpendables,2010
Stallone,Stallone,actedinwritten,theexpendables,2010
Stallone,Stallone,writtendirected,theexpendables,2010
Stallone,Stallone,directedwritten,theexpendables,2010
Stallone,Stallone,written,theexpendables2,2012
Stallone,Stallone,actedinwritten,theexpendables2,2012
Stallone,Stallone,writtenprod,homefront,2013
Stallone,Stallone,prodwritten,homefront,2013
Stallone,Deniro,coacting,grudgematch,2013
Stallone,Stallone,written,theexpendables3,2014
Stallone,Stallone,actedinwritten,theexpendables3,2014
Stallone,Lutz,actedinwritten,theexpendables3,2014
Stallone,Lutz,coacting,theexpendables3,2014
Stallone,Stallone,written,creed,2015
Stallone,Stallone,actedinwritten,creed,2015
Stallone,Stallone,produced,creed,2015
Stallone,Stallone,actedinprod,creed,2015
Stallone,Stallone,prodwritten,creed,2015
Stallone,Stallone,writtenprod,creed,2015
Stewart,Pattinson,coacting,thetwilightsaganewmoon,2009
Stewart,Lautner,coacting,thetwilightsaganewmoon,2009
Stewart,Lutz,coacting,thetwilightsaganewmoon,2009
Stewart,Pattinson,coacting,thetwilightsagaeclipse,2010
Stewart,Lautner,coacting,thetwilightsagaeclipse,2010
Stewart,Lutz,coacting,thetwilightsagaeclipse,2010
Stewart,Pattinson,coacting,thetwilightsagabreakingdawnpart1,2011
Stewart,Lautner,coacting,thetwilightsagabreakingdawnpart1,2011
Stewart,Lutz,coacting,thetwilightsagabreakingdawnpart1,2011
Stewart,Theron,coacting,snowwhiteandthehuntsman,2012
Stewart,Pattinson,coacting,thetwilightsagabreakingdawnpart2,2012
Stewart,Lautner,coacting,thetwilightsagabreakingdawnpart2,2012
Stewart,Lutz,coacting,thetwilightsagabreakingdawnpart2,2012
Stewart,Martin,coacting,billylynnslonghalftimewalk,2016
Stewart,Stewart,directedwritten,comeswim,2017
Stewart,Stewart,writtendirected,comeswim,2017
Stiller,Streisand,coacting,littlefockers,2010
Stiller,Deniro,actedinprod,littlefockers,2010
Stiller,Deniro,coacting,littlefockers,2010
Stiller,Stiller,produced,submarine,2010
Stiller,Stiller,actedinprod,submarine,2010
Stiller,Swardson,produced,30minutesorless,2011
Stiller,Black,produced,thebigyear,2011
Stiller,Martin,produced,thebigyear,2011
Stiller,Murphy,actedinprod,towerheist,2011
Stiller,Murphy,coacting,towerheist,2011
Stiller,Stiller,directed,thesecretlifeofwaltermitty,2013
Stiller,Stiller,actedindirect,thesecretlifeofwaltermitty,2013
Stiller,Stiller,proddirected,thesecretlifeofwaltermitty,2013
Stiller,Stiller,directedprod,thesecretlifeofwaltermitty,2013
Stiller,Stiller,produced,thesecretlifeofwaltermitty,2013
Stiller,Stiller,actedinprod,thesecretlifeofwaltermitty,2013
Stiller,Watts,coacting,whilewereyoung,2014
Stiller,Ferrell,coacting,zoolander2,2016
Stiller,Ferrell,directed,zoolander2,2016
Stiller,Ferrell,written,zoolander2,2016
Stiller,Ferrell,produced,zoolander2,2016
Stiller,Jovovich,coacting,zoolander2,2016
Stiller,Jovovich,directed,zoolander2,2016
Stiller,Jovovich,written,zoolander2,2016
Stiller,Jovovich,produced,zoolander2,2016
Stiller,Jonasj,coacting,zoolander2,2016
Stiller,Jonasj,directed,zoolander2,2016
Stiller,Jonasj,written,zoolander2,2016
Stiller,Jonasj,produced,zoolander2,2016
Stiller,Stiller,actedindirect,zoolander2,2016
Stiller,Stiller,directed,zoolander2,2016
Stiller,Stiller,written,zoolander2,2016
Stiller,Stiller,produced,zoolander2,2016
Stiller,Stiller,actedinprod,zoolander2,2016
Stiller,Stiller,actedinwritten,zoolander2,2016
Stiller,Stiller,prodwritten,zoolander2,2016
Stiller,Stiller,writtenprod,zoolander2,2016
Stiller,Stiller,directedwritten,zoolander2,2016
Stiller,Stiller,writtendirected,zoolander2,2016
Stiller,Stiller,directedprod,zoolander2,2016
Stiller,Stiller,proddirected,zoolander2,2016
Stiller,Stiller,produced,playdodgeballwithbenstiller,2017
Stiller,Stiller,actedinprod,playdodgeballwithbenstiller,2017
Stiller,Sandler,coacting,themeyerowitzstoriesnewandselected,2017
Streisand,Deniro,actedinprod,littlefockers,2010
Streisand,Deniro,coacting,littlefockers,2010
Streisand,Stiller,coacting,littlefockers,2010
Streisand,Streisand,produced,theguilttrip,2012
Streisand,Streisand,actedinprod,theguilttrip,2012
Swardson,Sandler,actedinprod,justgowithit,2011
Swardson,Sandler,coacting,justgowithit,2011
Swardson,Aniston,coacting,justgowithit,2011
Swardson,Stiller,actedinprod,30minutesorless,2011
Swardson,Sandler,actedinprod,buckylarsonborntobeastar,2011
Swardson,Sandler,actedinwritten,buckylarsonborntobeastar,2011
Swardson,Sandler,cowritten,buckylarsonborntobeastar,2011
Swardson,Sandler,coproduced,buckylarsonborntobeastar,2011
Swardson,Sandler,writtenprod,buckylarsonborntobeastar,2011
Swardson,Sandler,prodwritten,buckylarsonborntobeastar,2011
Swardson,Swardson,writtenprod,buckylarsonborntobeastar,2011
Swardson,Swardson,prodwritten,buckylarsonborntobeastar,2011
Swardson,Swardson,produced,buckylarsonborntobeastar,2011
Swardson,Swardson,written,buckylarsonborntobeastar,2011
Swardson,Swardson,actedinprod,buckylarsonborntobeastar,2011
Swardson,Swardson,actedinwritten,buckylarsonborntobeastar,2011
Swardson,Sandler,actedinprod,jackandjill,2011
Swardson,Sandler,actedinwritten,jackandjill,2011
Swardson,Sandler,coacting,jackandjill,2011
Swardson,Sandler,actedinprod,thatsmyboy,2012
Swardson,Sandler,coacting,thatsmyboy,2012
Swardson,Sandler,actedinprod,grownups2,2013
Swardson,Sandler,actedinwritten,grownups2,2013
Swardson,Sandler,coacting,grownups2,2013
Swardson,James,coacting,grownups2,2013
Swardson,Lautner,coacting,grownups2,2013
Swardson,Swardson,written,themassagewithnickswardson,2014
Swardson,Swardson,actedinwritten,themassagewithnickswardson,2014
Swardson,Sandler,coacting,pixels,2015
Swardson,James,coacting,pixels,2015
Swardson,Sandler,coproduced,theridiculous6,2015
Swardson,Sandler,prodwritten,theridiculous6,2015
Swardson,Sandler,produced,theridiculous6,2015
Swardson,Sandler,actedinprod,theridiculous6,2015
Swardson,Sandler,actedinwritten,theridiculous6,2015
Swardson,Sandler,coacting,theridiculous6,2015
Swardson,Swardson,produced,theridiculous6,2015
Swardson,Swardson,actedinprod,theridiculous6,2015
Swardson,Lautner,produced,theridiculous6,2015
Swardson,Lautner,coacting,theridiculous6,2015
Swardson,Swardson,produced,thedoover,2016
Swardson,Swardson,actedinprod,thedoover,2016
Swardson,Sandler,actedinprod,thedoover,2016
Swardson,Sandler,coproduced,thedoover,2016
Swardson,Sandler,coacting,thedoover,2016
Swardson,Sandler,produced,thedoover,2016
Swardson,Sandler,coproduced,sandywexler,2017
Swardson,Sandler,prodwritten,sandywexler,2017
Swardson,Sandler,produced,sandywexler,2017
Swardson,Sandler,actedinprod,sandywexler,2017
Swardson,Sandler,actedinwritten,sandywexler,2017
Swardson,Sandler,coacting,sandywexler,2017
Swardson,Swardson,produced,sandywexler,2017
Swardson,Swardson,actedinprod,sandywexler,2017
Swardson,James,produced,sandywexler,2017
Swardson,James,coacting,sandywexler,2017
Tatum,Deniro,actedinprod,publicenemies,2009
Tatum,Depp,coacting,publicenemies,2009
Tatum,James,coacting,thedilemma,2011
Tatum,Tatum,produced,10years,2011
Tatum,Tatum,actedinprod,10years,2011
Tatum,Johnson,coacting,21jumpstreet,2012
Tatum,Johnson,produced,21jumpstreet,2012
Tatum,Depp,coacting,21jumpstreet,2012
Tatum,Depp,produced,21jumpstreet,2012
Tatum,Tatum,produced,21jumpstreet,2012
Tatum,Tatum,actedinprod,21jumpstreet,2012
Tatum,Tatum,produced,magicmike,2012
Tatum,Tatum,actedinprod,magicmike,2012
Tatum,Watson,coacting,thisistheend,2013
Tatum,Tatum,produced,whitehousedown,2013
Tatum,Tatum,actedinprod,whitehousedown,2013
Tatum,Tatum,produced,22jumpstreet,2014
Tatum,Tatum,actedinprod,22jumpstreet,2014
Tatum,Kunis,coacting,jupiterascending,2015
Tatum,Tatum,produced,magicmikexxl,2015
Tatum,Tatum,actedinprod,magicmikexxl,2015
Tatum,Macfarlane,produced,loganlucky,2017
Tatum,Macfarlane,coacting,loganlucky,2017
Tatum,Tatum,actedinprod,loganlucky,2017
Tatum,Tatum,produced,loganlucky,2017
Tatum,Berry,coacting,kingsmanthegoldencircle,2017
Theron,Theron,produced,youngadult,2011
Theron,Theron,actedinprod,youngadult,2011
Theron,Stewart,coacting,snowwhiteandthehuntsman,2012
Theron,Macfarlane,coacting,amillionwaystodieinthewest,2014
Theron,Macfarlane,actedinprod,amillionwaystodieinthewest,2014
Theron,Macfarlane,actedinwritten,amillionwaystodieinthewest,2014
Theron,Macfarlane,actedindirect,amillionwaystodieinthewest,2014
Theron,Theron,produced,darkplaces,2015
Theron,Theron,actedinprod,darkplaces,2015
Theron,Perry,produced,brainonfire,2016
Theron,Theron,produced,atomicblonde,2017
Theron,Theron,actedinprod,atomicblonde,2017
Travolta,Deniro,coacting,killingseason,2013
Travolta,Travolta,produced,criminalactivities,2015
Travolta,Travolta,actedinprod,criminalactivities,2015
Turner,Dsouza,coacting,hillarysamericathesecrethistoryofthedemocraticparty,2016
Turner,Dsouza,actedinwritten,hillarysamericathesecrethistoryofthedemocraticparty,2016
Turner,Dsouza,actedindirect,hillarysamericathesecrethistoryofthedemocraticparty,2016
Turner,Dsouza,actedinprod,hillarysamericathesecrethistoryofthedemocraticparty,2016
Turner,Dsouza,coacting,hillarysamericathesecrethistoryofthedemocraticparty,2016
Wahlberg,Kunis,coacting,datenight,2010
Wahlberg,Ferrell,actedinprod,theotherguys,2010
Wahlberg,Ferrell,coacting,theotherguys,2010
Wahlberg,Wahlberg,produced,thefighter,2010
Wahlberg,Wahlberg,actedinprod,thefighter,2010
Wahlberg,Wahlberg,produced,contraband,2012
Wahlberg,Wahlberg,actedinprod,contraband,2012
Wahlberg,Macfarlane,actedindirect,ted,2012
Wahlberg,Macfarlane,actedinwritten,ted,2012
Wahlberg,Macfarlane,actedinprod,ted,2012
Wahlberg,Kunis,coacting,ted,2012
Wahlberg,Wahlberg,produced,brokencity,2013
Wahlberg,Wahlberg,actedinprod,brokencity,2013
Wahlberg,Wahlberg,produced,lonesurvivor,2013
Wahlberg,Wahlberg,actedinprod,lonesurvivor,2013
Wahlberg,Wahlberg,produced,thegambler,2014
Wahlberg,Wahlberg,actedinprod,thegambler,2014
Wahlberg,Wahlberg,produced,entourage,2015
Wahlberg,Wahlberg,actedinprod,entourage,2015
Wahlberg,Macfarlane,actedindirect,ted2,2015
Wahlberg,Macfarlane,actedinwritten,ted2,2015
Wahlberg,Macfarlane,actedinprod,ted2,2015
Wahlberg,Ferrell,coacting,daddyshome,2015
Wahlberg,Ferrell,actedinprod,daddyshome,2015
Wahlberg,Wahlberg,actedinprod,deepwaterhorizon,2016
Wahlberg,Wahlberg,produced,deepwaterhorizon,2016
Wahlberg,Wahlberg,actedinprod,patriotsday,2016
Wahlberg,Wahlberg,produced,patriotsday,2016
Wahlberg,Wahlberg,actedinprod,daddyshome2,2017
Wahlberg,Wahlberg,produced,daddyshome2,2017
Wahlberg,Ferrell,produced,daddyshome2,2017
Wahlberg,Ferrell,coacting,daddyshome2,2017
Wahlberg,Ferrell,coproduced,daddyshome2,2017
Wahlberg,Ferrell,actedinprod,daddyshome2,2017
Watson,Tatum,coacting,thisistheend,2013
Watts,Watts,produced,adore,2013
Watts,Watts,actedinprod,adore,2013
Watts,Macfarlane,coacting,movie43,2013
Watts,Butler,coacting,movie43,2013
Watts,Berry,coacting,movie43,2013
Watts,Mccarthy,coacting,stvincent,2014
Watts,Stiller,coacting,whilewereyoung,2014
Watts,Woodley,coacting,insurgent,2015
Watts,Watts,produced,3generations,2015
Watts,Watts,actedinprod,3generations,2015
Watts,Woodley,coacting,allegiant,2016
Weiss,Lutz,coacting,thelegendofhercules,2014
Woodley,Barrymore,actedindirect,bestcoastourdeal,2011
Woodley,Barrymore,coacting,bestcoastourdeal,2011
Woodley,Watts,coacting,insurgent,2015
Woodley,Watts,coacting,allegiant,2016
Woodley,Cage,coacting,snowden,2016